state;race;capital;percent;
Paraná;white;less than 100k;74;
Paraná;white;100k to 1M;17;
Paraná;white;more than 1M;9;
Paraná;black;less than 100k;95;
Paraná;black;100k to 1M;4;
Paraná;black;more than 1M;2;
Santa Catarina;white;less than 100k;72;
Santa Catarina;white;100k to 1M;21;
Santa Catarina;white;more than 1M;8;
Santa Catarina;black;less than 100k;80;
Santa Catarina;black;100k to 1M;20;
Santa Catarina;black;more than 1M;0;
Rio Grande do Sul;white;less than 100k;76;
Rio Grande do Sul;white;100k to 1M;17;
Rio Grande do Sul;white;more than 1M;8;
Rio Grande do Sul;black;less than 100k;94;
Rio Grande do Sul;black;100k to 1M;6;
Rio Grande do Sul;black;more than 1M;0;
Mato Grosso do Sul;white;less than 100k;69;
Mato Grosso do Sul;white;100k to 1M;23;
Mato Grosso do Sul;white;more than 1M;9;
Mato Grosso do Sul;black;less than 100k;80;
Mato Grosso do Sul;black;100k to 1M;20;
Mato Grosso do Sul;black;more than 1M;0;
Mato Grosso;white;less than 100k;56;
Mato Grosso;white;100k to 1M;24;
Mato Grosso;white;more than 1M;20;
Mato Grosso;black;less than 100k;76;
Mato Grosso;black;100k to 1M;23;
Mato Grosso;black;more than 1M;1;
Goiás;white;less than 100k;62;
Goiás;white;100k to 1M;23;
Goiás;white;more than 1M;15;
Goiás;black;less than 100k;94;
Goiás;black;100k to 1M;6;
Goiás;black;more than 1M;0;
Distrito Federal;white;less than 100k;70;
Distrito Federal;white;100k to 1M;20;
Distrito Federal;white;more than 1M;9;
Distrito Federal;black;less than 100k;74;
Distrito Federal;black;100k to 1M;22;
Distrito Federal;black;more than 1M;5;
